Credit Card Name,Rating,Annual Fees,APR,Recommended Credit Scores
Discover it® Cash Back - 18 Month Intro Balance Transfer Offer,4.9,$0,18.74%-27.74% Variable APR,690-850
Citi Simplicity® Card,4.5,$0,18.49%-29.24% Variable APR,690-850
Chase Freedom Unlimited®,5.0,$0,Not available,690-850
BankAmericard® credit card,4.6,$0,15.74%-25.74% Variable APR,690-850
Discover it® Chrome,4.5,$0,18.74%-27.74% Variable APR,690-850
Citi Double Cash® Card,4.9,$0,Not available,630-850
Wells Fargo Reflect® Card,4.5,$0,"17.49%, 23.99%, or 29.24% Variable APR",690-850
